"filename", "language", "JSON", "YAML", "XML", "TypeScript JSX", "HTML", "C++", "CMake", "Markdown", "Swift", "Ruby", "Dart", "Properties", "comment", "blank", "total"
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/grid.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 41, 10, 107
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/input_blocker.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 6, 13, 67
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/load_sprites.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 14, 7, 70
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/misc_utils.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 8, 10, 45
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/rounded_sprite_component.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 2, 5, 37
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/rrect.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 3, 5, 29
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/slider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 145, 0, 21, 30, 196
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/sprite_row.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 9, 6, 52
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/swipe_handler.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 38, 29, 149
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/visible_components.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 12, 10, 108
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/warm_up.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 6, 12, 71
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/l10n/app_localizations.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 248, 62, 411
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/l10n/app_localizations_de.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 3, 49, 153
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/l10n/app_localizations_en.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 3, 49, 153
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/l10n/app_localizations_extensions.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 5, 20, 114
