"filename", "language", "JSON", "C++", "CMake", "XML", "TypeScript JSX", "YAML", "Dart", "Properties", "Markdown", "Swift", "Ruby", "HTML", "comment", "blank", "total"
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/menu/widgets/level_grid.dart", "Dart", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 6, 16, 106
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/menu/widgets/level_tile.dart", "Dart", 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 12, 24, 163
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/menu/widgets/menu_dummy_character.dart", "Dart", 0, 0, 0, 0, 0, 0, 134, 0, 0, 0, 0, 0, 39, 28, 201
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/menu/widgets/menu_top_bar.dart", "Dart", 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 10, 21, 133
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/settings/confirm_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 7, 14, 90
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/settings/settings_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 18, 30, 258
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/shop/shop_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 1, 6, 40
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/air_particle.dart", "Dart", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 16, 22, 110
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/arrow_up.dart", "Dart", 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 14, 19, 122
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/fan.dart", "Dart", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 17, 17, 108
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/fan_air_stream.dart", "Dart", 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 0, 0, 20, 27, 183
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/fire.dart", "Dart", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 16, 14, 91
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/fire_trap.dart", "Dart", 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 26, 29, 162
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/fruit.dart", "Dart", 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 16, 19, 113
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/moving_platform.dart", "Dart", 0, 0, 0, 0, 0, 0, 163, 0, 0, 0, 0, 0, 27, 37, 227
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/rock_head.dart", "Dart", 0, 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 24, 30, 193
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/saw.dart", "Dart", 0, 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 26, 25, 192
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/saw_circle_component.dart", "Dart", 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 35, 28, 186
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/saw_circle_single_saw.dart", "Dart", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 17, 13, 90
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/spike_head.dart", "Dart", 0, 0, 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 15, 30, 198
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/spiked_ball.dart", "Dart", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 9, 14, 74
